0x3007: 'líng,yuán,xīng',
0x3400: 'qiū',
0x3401: 'tiàn',
0x3404: 'kuà',
0x3405: 'wǔ',
0x3406: 'yǐn',
0x340C: 'yí',
0x3416: 'xié',
0x341C: 'chóu',
0x3421: 'nuò',
0x3424: 'dān,qiú',
0x3428: 'xù',
0x3429: 'xíng',
0x342B: 'xiōng',
0x342C: 'liú',
0x342D: 'lǐn',
0x342E: 'xiāng',
0x342F: 'yōng',
0x3430: 'xìn',
0x3431: 'zhěn',
0x3432: 'dài',
0x3433: 'wù',
0x3434: 'pān',
0x3435: 'rú',
0x3437: 'mǎ',
0x3438: 'qiàn,cì',
0x3439: 'yì',
0x343A: 'yín,zhòng',
0x343B: 'nèi',
0x343C: 'chèng',
0x343D: 'fēng',
0x3441: 'zhuō',
0x3442: 'fǎng',
0x3443: 'ǎo',
0x3444: 'wǔ',
0x3445: 'zuò',
0x3447: 'zhòu',
0x3448: 'dòng',
0x3449: 'sù',
0x344A: 'yì',
0x344B: 'qióng',
0x344C: 'kuāng,wāng',
0x344D: 'lèi',
0x344E: 'nǎo',
0x344F: 'zhù',
0x3450: 'shū',
0x3454: 'xǔ',
0x3457: 'shēn',
0x3458: 'jiè',
0x3459: 'dié',
0x345A: 'nuó',
0x345B: 'sù',
0x345C: 'yì,chì',
0x345D: 'lòng',
0x345E: 'yìng',
0x345F: 'běng',
0x3463: 'lán',
0x3464: 'miáo',
0x3465: 'yì',
0x3466: 'lì',
0x3467: 'jì',
0x3468: 'yǔ',
0x3469: 'luó',
0x346A: 'chái',
0x346E: 'hún',
0x346F: 'xǔ',
0x3470: 'huì',
0x3471: 'rǎo',
0x3473: 'zhòu,zhū',
0x3475: 'hàn',
0x3476: 'xì',
0x3477: 'tài',
0x3478: 'yáo',
0x3479: 'huì',
0x347A: 'jùn',
0x347B: 'mà',
0x347C: 'lüè',
0x347D: 'táng',
0x347E: 'yáo',
0x347F: 'zhào',
0x3480: 'zhāi,zhǎ',
0x3481: 'yǔ',
0x3482: 'zhuó',
0x3483: 'èr',
0x3484: 'rǎn',
0x3485: 'qǐ',
0x3486: 'chì',
0x3487: 'wǔ',
0x3488: 'hàn',
0x3489: 'tǎng',
0x348A: 'sè',
0x348B: 'sī',
0x348C: 'qióng',
0x348D: 'léi',
0x348E: 'sà',
0x3491: 'kuǐ,huì',
0x3492: 'pú',
0x3493: 'tà',
0x3494: 'shú,dú,tù',
0x3495: 'yāng',
0x3496: 'ǒu',
0x3497: 'tái',
0x3499: 'mián',
0x349A: 'yìn,wěn',
0x349B: 'diào',
0x349C: 'yǔ',
0x349D: 'miè,wà',
0x349E: 'jùn',
0x349F: 'niǎo',
0x34A0: 'xiè',
0x34A1: 'yóu',
0x34A4: 'chè',
0x34A5: 'fēng',
0x34A6: 'lěi,lèi',
0x34A7: 'lì',
0x34A9: 'luǒ',
0x34AB: 'jì',
0x34B0: 'quán',
0x34B2: 'cái',
0x34B3: 'liǎng',
0x34B4: 'gǔ',
0x34B5: 'mào',
0x34B7: 'guǎ',
0x34B8: 'suì',
0x34BB: 'mào',
0x34BC: 'mán',
0x34BD: 'quān',
0x34BE: 'shì',
0x34BF: 'lí',
0x34C1: 'wǎng',
0x34C2: 'kòu',
0x34C3: 'dù',
0x34C4: 'zhèn',
0x34C5: 'tīng',
0x34C8: 'bìng',
0x34C9: 'huò',
0x34CA: 'dòng',
0x34CB: 'gòng',
0x34CC: 'chēng',
0x34CE: 'qīn,qìn,qǐn',
0x34CF: 'jiǒng',
0x34D0: 'lù',
0x34D1: 'xìng',
0x34D3: 'nán',
0x34D4: 'xiè',
0x34D6: 'bì',
0x34D7: 'jié',
0x34D8: 'sù',
0x34DA: 'gōng',
0x34DC: 'yòu',
0x34DD: 'xíng',
0x34DE: 'qià',
0x34DF: 'pí',
0x34E0: 'diàn,diǎn',
0x34E1: 'fǔ,guā',
0x34E2: 'luò',
0x34E3: 'qià,gē',
0x34E4: 'qià',
0x34E5: 'tāng',
0x34E6: 'bāi',
0x34E7: 'gān',
0x34E8: 'cí',
0x34E9: 'xuān,jiē',
0x34EA: 'lǎng',
0x34ED: 'shé',
0x34EE: 'diāo',
0x34EF: 'lí',
0x34F0: 'huà',
0x34F1: 'tóu,shū',
0x34F2: 'piān',
0x34F3: 'dī',
0x34F4: 'ruǎn',
0x34F5: 'è',
0x34F6: 'qiè',
0x34F7: 'yì',
0x34F8: 'zhuō,dōu',
0x34F9: 'ruì,cuì,jì',
0x34FA: 'jiān,qián',
0x34FC: 'chì',
0x34FD: 'chóng',
0x34FE: 'xī,chí',
0x3500: 'lüè',
0x3501: 'dēng',
0x3502: 'lín',
0x3503: 'jué,xuē',
0x3504: 'sù',
0x3505: 'xiào',
0x3506: 'zàn',
0x3509: 'zhǔ',
0x350A: 'zhǎn,dǎn',
0x350B: 'jiān,lán',
0x350C: 'zòu,cǒu',
0x350D: 'chuā,zhá',
0x350E: 'xiè',
0x350F: 'lì,luǒ',
0x3511: 'chì',
0x3512: 'xí',
0x3513: 'jiǎn',
0x3515: 'jí',
0x3517: 'fèi,bèi,fú',
0x3518: 'chù',
0x3519: 'bēng',
0x351A: 'jié',
0x351C: 'bá',
0x351D: 'liǎng,liáng',
0x351E: 'kuài',
0x3520: 'xiā,hé',
0x3521: 'biē',
0x3522: 'jué,xuē',
0x3523: 'léi',
0x3524: 'xìn',
0x3525: 'bài,pí',
0x3526: 'yǎng',
0x3527: 'lǜ',
0x3528: 'bèi',
0x3529: 'è',
0x352A: 'lǔ',
0x352D: 'chè',
0x352E: 'nuó',
0x352F: 'xuán,suǎn',
0x3530: 'héng',
0x3531: 'yǔ',
0x3533: 'guǐ',
0x3534: 'yì',
0x3535: 'xuǎn',
0x3536: 'gòng,gǎn',
0x3537: 'lòu',
0x3538: 'tī',
0x3539: 'lè',
0x353A: 'shì',
0x353C: 'sǔn',
0x353D: 'yào',
0x353E: 'xiān,jié',
0x353F: 'zòu',
0x3541: 'què',
0x3542: 'yín,qín',
0x3543: 'xī',
0x3544: 'zhǐ',
0x3545: 'jiá',
0x3546: 'hù',
0x3547: 'lā',
0x3548: 'yǐ',
0x3549: 'kè',
0x354A: 'fū',
0x354B: 'qín',
0x354C: 'ài',
0x354E: 'kè',
0x354F: 'chú',
0x3550: 'xiě,xiè',
0x3551: 'chú',
0x3552: 'wēi',
0x3555: 'huàn',
0x3556: 'sù',
0x3557: 'yòu',
0x3559: 'jùn',
0x355A: 'zhǎo',
0x355B: 'xù',
0x355C: 'shǐ',
0x355E: 'shuā',
0x355F: 'kuì,kuài',
0x3560: 'shuāng',
0x3561: 'hé',
0x3562: 'gài,hài',
0x3563: 'yǎn',
0x3564: 'qiú',
0x3565: 'shēn',
0x3566: 'huà',
0x3567: 'xī',
0x3568: 'fàn',
0x3569: 'pàng',
0x356A: 'dǎn',
0x356B: 'fǎng,fēng',
0x356C: 'gōng,sòng',
0x356D: 'āo,ào',
0x356E: 'fǔ',
0x356F: 'nè',
0x3570: 'xuè,ma',
0x3571: 'yóu',
0x3572: 'huá,yíng',
0x3574: 'chén',
0x3575: 'guó',
0x3576: 'ň,ňg',
0x3577: 'huà,pā',
0x3578: 'lì',
0x3579: 'fá',
0x357A: 'xiāo',
0x357B: 'pǒu',
0x357D: 'sì',
0x3580: 'lè',
0x3581: 'lìn',
0x3582: 'yì',
0x3583: 'hǒu,hòu',
0x3585: 'xù',
0x3586: 'qú',
0x3587: 'ér',
0x358A: 'xún',
0x358F: 'niè',
0x3590: 'wěi',
0x3591: 'xiè',
0x3592: 'tí',
0x3593: 'hóng',
0x3594: 'tǔn',
0x3595: 'niè,xīn',
0x3596: 'niè',
0x3597: 'yín',
0x3598: 'zhēn',
0x359E: 'wāi',
0x359F: 'shòu',
0x35A0: 'nuò',
0x35A1: 'yè',
0x35A2: 'qí',
0x35A3: 'tòu',
0x35A4: 'hán',
0x35A5: 'jùn',
0x35A6: 'dǒng',
0x35A7: 'hūn,wěn',
0x35A8: 'lù',
0x35A9: 'jū,sǒu',
0x35AA: 'huò,guó,xù',
0x35AB: 'líng',
0x35AD: 'tiǎn',
0x35AE: 'lún',
0x35B5: 'gé',
0x35B6: 'yān,yè,yīn',
0x35B7: 'shí,tí',
0x35B8: 'xué,niā',
0x35B9: 'pēn,fèn',
0x35BA: 'chǔn',
0x35BB: 'niú,ròu',
0x35BC: 'duǒ',
0x35BD: 'zé',
0x35BE: 'è',
